Country,CountryCode,Province,City,CityCode,Lat,Lon,Cases,Status,Date
Singapore,SG,,,,1.35,103.82,58019,confirmed,2020-11-01T00:00:00Z
Singapore,SG,,,,1.35,103.82,58020,confirmed,2020-11-02T00:00:00Z
Singapore,SG,,,,1.35,103.82,58029,confirmed,2020-11-03T00:00:00Z
Singapore,SG,,,,1.35,103.82,58036,confirmed,2020-11-04T00:00:00Z
Singapore,SG,,,,1.35,103.82,58043,confirmed,2020-11-05T00:00:00Z
Singapore,SG,,,,1.35,103.82,58047,confirmed,2020-11-06T00:00:00Z
Singapore,SG,,,,1.35,103.82,58054,confirmed,2020-11-07T00:00:00Z
Singapore,SG,,,,1.35,103.82,58056,confirmed,2020-11-08T00:00:00Z
Singapore,SG,,,,1.35,103.82,58064,confirmed,2020-11-09T00:00:00Z
Singapore,SG,,,,1.35,103.82,58073,confirmed,2020-11-10T00:00:00Z
Singapore,SG,,,,1.35,103.82,58091,confirmed,2020-11-11T00:00:00Z
Singapore,SG,,,,1.35,103.82,58102,confirmed,2020-11-12T00:00:00Z
Singapore,SG,,,,1.35,103.82,58114,confirmed,2020-11-13T00:00:00Z
Singapore,SG,,,,1.35,103.82,58116,confirmed,2020-11-14T00:00:00Z
Singapore,SG,,,,1.35,103.82,58119,confirmed,2020-11-15T00:00:00Z
Singapore,SG,,,,1.35,103.82,58124,confirmed,2020-11-16T00:00:00Z
Singapore,SG,,,,1.35,103.82,58130,confirmed,2020-11-17T00:00:00Z
Singapore,SG,,,,1.35,103.82,58135,confirmed,2020-11-18T00:00:00Z
Singapore,SG,,,,1.35,103.82,58139,confirmed,2020-11-19T00:00:00Z
Singapore,SG,,,,1.35,103.82,58143,confirmed,2020-11-20T00:00:00Z
Singapore,SG,,,,1.35,103.82,58148,confirmed,2020-11-21T00:00:00Z
Singapore,SG,,,,1.35,103.82,58160,confirmed,2020-11-22T00:00:00Z
Singapore,SG,,,,1.35,103.82,58165,confirmed,2020-11-23T00:00:00Z
Singapore,SG,,,,1.35,103.82,58183,confirmed,2020-11-24T00:00:00Z
Singapore,SG,,,,1.35,103.82,58190,confirmed,2020-11-25T00:00:00Z
Singapore,SG,,,,1.35,103.82,58195,confirmed,2020-11-26T00:00:00Z
Singapore,SG,,,,1.35,103.82,58199,confirmed,2020-11-27T00:00:00Z
Singapore,SG,,,,1.35,103.82,58205,confirmed,2020-11-28T00:00:00Z
Singapore,SG,,,,1.35,103.82,58213,confirmed,2020-11-29T00:00:00Z
Singapore,SG,,,,1.35,103.82,58218,confirmed,2020-11-30T00:00:00Z
Singapore,SG,,,,1.35,103.82,58228,confirmed,2020-12-01T00:00:00Z
Singapore,SG,,,,1.35,103.82,58230,confirmed,2020-12-02T00:00:00Z
Singapore,SG,,,,1.35,103.82,58239,confirmed,2020-12-03T00:00:00Z
Singapore,SG,,,,1.35,103.82,58242,confirmed,2020-12-04T00:00:00Z
Singapore,SG,,,,1.35,103.82,58255,confirmed,2020-12-05T00:00:00Z
Singapore,SG,,,,1.35,103.82,58260,confirmed,2020-12-06T00:00:00Z
Singapore,SG,,,,1.35,103.82,58273,confirmed,2020-12-07T00:00:00Z
